"BehaviorSpace results (NetLogo 5.1.0)"
"Ants.nlogo"
"experiment0"
"04/13/2017 15:26:54:937 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"evaporation-rate","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"population","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150"
"x","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"y","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24"
"diffusion-rate","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"pourcentage","1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191"
"[reporter]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151","161",,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,"151",,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,"231",,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121","131",,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
,"101","111","121",,,,,,,,,,,,,,,,,
